,bbl,RS_Unit_Count,legacy_properties_all_rs,legacy_properties_0_35_pct_rs,legacy_properties_35_89_pct_rs,legacy_properties_90_pct_plus_rs,programmatic_properties,govt_subsidized_income_restricted_rs,mixed_income_rs
515,1002830012,19.0,1,0,0,1,0,0,0
516,1002830013,19.0,1,0,0,1,0,0,0
517,1002830024,1.0,0,0,0,0,0,0,0
518,1002830035,5.0,1,0,1,0,0,0,0
519,1002830036,4.0,1,1,0,0,0,0,0
521,1002830038,8.0,1,0,0,1,0,0,0
522,1002830040,10.0,1,0,0,1,0,0,0
523,1002830041,7.0,1,0,1,0,0,0,0
524,1002830043,30.0,1,0,0,1,0,0,0
525,1002830047,18.0,1,0,0,1,0,0,0
526,1002830049,20.0,1,0,0,1,0,0,0
527,1002830054,8.0,1,0,0,1,0,0,0
528,1002830063,8.0,1,0,1,0,0,0,0
529,1002830064,8.0,1,0,0,1,0,0,0
531,1002830066,3.0,1,0,1,0,0,0,0
532,1002830067,6.0,1,0,0,1,0,0,0
533,1002830068,6.0,1,0,1,0,0,0,0
534,1002830070,8.0,1,0,0,1,0,0,0
535,1002830071,8.0,1,0,0,1,0,0,0
536,1002830072,6.0,1,0,1,0,0,0,0
537,1002830076,8.0,1,0,0,1,0,0,0
538,1002830077,8.0,1,0,0,1,0,0,0
539,1002830079,7.0,1,0,1,0,0,0,0
540,1002830087,3.0,1,0,1,0,0,0,0
541,1002830091,6.0,1,0,1,0,0,0,0
542,1002830092,6.0,1,0,1,0,0,0,0
543,1002830094,10.0,1,0,1,0,0,0,0
544,1002840011,34.0,1,0,1,0,0,0,0
545,1002840016,4.0,1,0,1,0,0,0,0
546,1002840020,18.0,1,0,0,1,0,0,0
547,1002840025,11.0,1,0,0,1,0,0,0
548,1002840026,5.0,1,1,0,0,0,0,0
549,1002840027,15.0,1,0,0,1,0,0,0
550,1002850007,7.0,1,1,0,0,0,0,0
551,1002850009,15.0,1,0,0,1,0,0,0
552,1002850011,9.0,1,0,1,0,0,0,0
553,1002850015,9.0,1,0,0,1,0,0,0
554,1002850016,4.0,1,0,1,0,0,0,0
557,1002850020,3.0,1,0,1,0,0,0,0
558,1002860001,10.0,1,0,0,1,0,0,0
559,1002860002,1.0,1,1,0,0,0,0,0
560,1002860003,12.0,1,0,0,1,0,0,0
561,1002860005,9.0,1,0,0,1,0,0,0
562,1002860006,20.0,0,0,0,0,1,1,0
563,1002860007,12.0,1,0,0,1,0,0,0
564,1002860013,24.0,1,0,0,1,0,0,0
565,1002860015,3.0,1,1,0,0,0,0,0
567,1002860018,5.0,1,1,0,0,0,0,0
568,1002860021,9.0,1,0,1,0,0,0,0
569,1002860024,3.0,1,0,1,0,0,0,0
570,1002860025,7.0,1,0,1,0,0,0,0
571,1002860028,7.0,1,0,1,0,0,0,0
572,1002860029,2.0,1,1,0,0,0,0,0
573,1002860040,13.0,1,0,1,0,0,0,0
574,1002920010,11.0,1,0,1,0,0,0,0
575,1002920021,10.0,1,0,1,0,0,0,0
576,1002920022,6.0,1,1,0,0,0,0,0
577,1002920023,18.0,1,0,0,1,0,0,0
579,1002920025,11.0,1,0,0,1,0,0,0
581,1002920027,16.0,1,0,1,0,0,0,0
582,1002920029,8.0,1,0,1,0,0,0,0
584,1002930010,6.0,1,0,1,0,0,0,0
585,1002930012,8.0,1,0,0,1,0,0,0
586,1002930015,9.0,1,0,1,0,0,0,0
587,1002930017,12.0,1,0,1,0,0,0,0
588,1002930018,18.0,1,0,0,1,0,0,0
589,1002930020,7.0,1,0,1,0,0,0,0
590,1002930028,15.0,1,0,0,1,0,0,0
591,1002940021,11.0,1,0,0,1,0,0,0
592,1002940022,2.0,1,1,0,0,0,0,0
594,1002940028,4.0,1,0,1,0,0,0,0
597,1002970016,14.0,1,0,1,0,0,0,0
598,1002970018,7.0,1,0,1,0,0,0,0
599,1002970019,3.0,1,1,0,0,0,0,0
601,1002970021,17.0,1,0,0,1,0,0,0
602,1002970022,5.0,1,1,0,0,0,0,0
604,1002970030,11.0,1,0,1,0,0,0,0
606,1002980008,5.0,1,0,1,0,0,0,0
608,1002980012,1.0,1,1,0,0,0,0,0
609,1002980013,1.0,1,1,0,0,0,0,0
610,1002980015,37.0,0,0,0,0,1,1,0
611,1002980018,7.0,1,0,1,0,0,0,0
612,1002980025,16.0,1,0,0,1,0,0,0
613,1002980026,15.0,1,0,1,0,0,0,0
614,1002990018,2.0,1,1,0,0,0,0,0
615,1002990021,9.0,1,0,1,0,0,0,0
616,1002990022,13.0,1,0,1,0,0,0,0
617,1002990023,14.0,1,0,0,1,0,0,0
